City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.1,81,32,13.97,NZ,1713755935
1,jamestown,42.097,-79.2353,-1.01,85,3,2.13,US,1713755936
2,ribeira grande,38.5167,-28.7,15.05,74,100,2.65,PT,1713755936
3,blackmans bay,-43.0167,147.3167,17.46,56,11,1.64,AU,1713755936
4,mount gambier,-37.8333,140.7667,22.35,23,2,3.35,AU,1713755936
5,bazpur,29.15,79.1167,33.01,16,60,3.2,IN,1713755936
6,chernyshevsk,52.5243,117.0174,3.6,88,100,6.45,RU,1713755937
7,edinburgh of the seven seas,-37.0676,-12.3116,17.55,87,36,9.21,SH,1713755937
8,bilibino,68.0546,166.4372,-5.73,59,31,1.2,RU,1713755937
9,georgetown,5.4112,100.3354,29.81,73,100,0.27,MY,1713755937
10,bredasdorp,-34.5322,20.0403,14.41,92,44,2.58,ZA,1713755938
11,selfoss,63.9331,-20.9971,3.75,79,72,1.31,IS,1713755938
12,kodiak,57.79,-152.4072,3.59,87,95,2.22,US,1713755938
13,grytviken,-54.2811,-36.5092,3.3,85,100,3.22,GS,1713755938
14,zhosaly,45.4878,64.0781,19.74,25,67,9.35,KZ,1713755939
15,egilsstadir,65.2653,-14.3948,3.62,54,77,2.14,IS,1713755939
16,kaya,13.0917,-1.0844,30.18,49,22,8.31,BF,1713755939
17,adamstown,-25.066,-130.1015,22.38,71,26,10.21,PN,1713755939
18,port-aux-francais,-49.35,70.2167,5.08,72,10,12.37,TF,1713755940
19,aksu,41.1231,80.2644,21.58,25,100,0.48,CN,1713755940
20,vila velha,-20.3297,-40.2925,22.22,74,0,2.63,BR,1713755940
21,castillejos,14.9333,120.2,34.45,43,3,2.57,PH,1713755940
22,kill devil hills,36.0307,-75.676,10.03,86,100,9.42,US,1713755941
23,bethel,41.3712,-73.414,2.94,75,100,1.41,US,1713755941
24,qaqortoq,60.7167,-46.0333,-0.79,88,100,1.26,GL,1713755941
25,fortuna,40.5982,-124.1573,8.06,92,100,2.49,US,1713755811
26,wailua homesteads,22.0669,-159.378,22.37,71,43,6.09,US,1713755942
27,san andres,12.5847,-81.7006,27.48,75,37,3.4,CO,1713755942
28,ad dilam,23.9915,47.1627,26.2,16,0,1.93,SA,1713755942
29,gannan,47.9147,123.5031,21.54,33,34,8.12,CN,1713755943
30,chinde,26.8418,88.0763,26.17,24,16,2.74,NP,1713755943
31,margaret river,-33.95,115.0667,17.4,45,99,7.19,AU,1713755943
32,kerema,-7.9631,145.7785,29.8,74,98,3.24,PG,1713755944
33,nabire,-3.3667,135.4833,30.45,68,59,2.96,ID,1713755944
34,kirkwall,58.9848,-2.9587,8.55,94,100,6.13,GB,1713755944
35,peace river,56.2501,-117.286,12.86,33,100,6.5,CA,1713755680
36,saint-joseph,-21.3667,55.6167,25.07,82,2,2.07,RE,1713755944
37,weno,7.4515,151.8468,28.95,79,93,5.64,FM,1713755945
38,east florence,34.8095,-87.6495,6.1,68,3,2.91,US,1713755945
39,prieska,-29.6641,22.7474,21.37,30,97,3.8,ZA,1713755945
40,atafu village,-8.5421,-172.5159,29.45,76,20,3.95,TK,1713755945
41,ushuaia,-54.8,-68.3,1.13,96,100,2.03,AR,1713755946
42,lebu,-37.6167,-73.65,12.3,96,100,3.17,CL,1713755946
43,port mathurin,-19.6833,63.4167,26.83,79,92,7.31,MU,1713755946
44,olonkinbyen,70.9221,-8.7187,-5.59,86,100,16.59,SJ,1713755946
45,stanley,54.868,-1.6985,3.71,96,100,1.75,GB,1713755947
46,aasiaat,68.7098,-52.8699,-1.18,96,100,0.94,GL,1713755947
47,iqaluit,63.7506,-68.5145,-16.96,97,86,2.04,CA,1713755947
48,kirakira,-10.4544,161.9205,28.91,78,95,2.13,SB,1713755947
49,taft,31.7471,54.2088,17.46,44,100,3.92,IR,1713755948
50,el calafate,-50.3408,-72.2768,2.83,77,9,2.68,AR,1713755948
51,balikpapan,-1.2675,116.8289,32.49,55,34,1.06,ID,1713755803
52,tocache,-8.1842,-76.5125,21.73,95,88,0.66,PE,1713755948
53,petropavl,54.8753,69.1628,11.81,55,90,4.25,KZ,1713755949
54,nzega,-2.479,29.5564,13.08,96,86,1.13,RW,1713755949
55,constantia,44.1833,28.65,11.4,89,100,9.02,RO,1713755949
56,vorkuta,67.5,64.0,-15.67,96,100,4.45,RU,1713755949
57,papatowai,-46.5619,169.4708,10.73,61,25,6.91,NZ,1713755950
58,albany,42.6001,-73.9662,1.26,75,2,2.83,US,1713755950
59,nogliki,51.8333,143.1667,1.15,86,99,4.59,RU,1713755950
60,maba,24.6841,113.5984,21.94,92,99,1.4,CN,1713755950
61,kargasok,59.0556,80.8572,0.63,82,99,7.81,RU,1713755950
62,colonia,50.9333,6.95,2.64,64,63,0.51,DE,1713755951
63,yellowknife,62.456,-114.3525,2.12,89,76,4.47,CA,1713755951
64,klyuchi,52.2667,79.1667,16.49,58,45,7.31,RU,1713755951
65,happy valley-goose bay,53.3168,-60.3315,2.84,89,100,0.3,CA,1713755951
66,tsiombe,-25.3,45.4833,17.5,93,0,0.66,MG,1713755952
67,tazovsky,67.4667,78.7,-18.13,94,91,3.97,RU,1713755952
68,choyr,46.3611,108.3611,3.22,39,8,7.6,MN,1713755952
